"Year","Mon","Day","Lat/Lon",56.77,57.2125,57.655,58.0975,58.54,58.9825,59.425,59.8675,60.31
2012,1,1,1.503,0,0,"4.18477029598e-05",0.0001090598,0.0001526784,0.0001994943,0.000243339,0.000258285,0.0002390372
2012,1,1,1.9455,0,0,"3.63996077795e-05",0.0001148301,0.0001524856,0.0002001009,0.0002411351,0.0002548764,0.0002385501
2012,1,1,2.388,0,"2.25210301915e-21","2.7217414754e-05",0.0001110492,0.0001578339,0.0002190365,0.0002656793,0.000287709,0.0002776815
2012,1,1,2.8305,0,"1.32002867304e-07","2.92210570478e-05","9.84083962976e-05",0.0001544406,0.0002347279,0.0002979999,0.0003255043,0.0003100456
2012,1,1,3.273,0,"3.58142460755e-06","3.73309048882e-05","9.69699976849e-05",0.0001264573,0.000214751,0.0002972292,0.0003156721,0.0002764136
2012,1,1,3.7155,0,"6.08854497841e-06","4.38471543021e-05","9.80030017672e-05",0.0001129883,0.0001545723,0.0002008971,0.0002006829,0.0001894472
2012,1,1,4.15801,0,"8.16474675958e-06","4.42316195404e-05","8.75697733136e-05",0.0001027903,"8.88845752343e-05","7.53037602408e-05","8.09455304989e-05","9.38999437494e-05"
2012,1,1,4.60051,0,"1.29459076561e-05","4.0711791371e-05","7.51944608055e-05","7.97264438006e-05","4.3068521336e-05","2.32695911109e-05","2.40647605096e-05","2.5960343919e-05"
2012,1,1,5.04301,0,"1.62406540767e-05","3.86993597203e-05","5.4716514569e-05","3.87010659324e-05","1.3620034224e-05","2.65477660832e-06","4.7325520427e-06","5.90861418459e-06"
2012,1,1,5.48551,0,"1.77012079803e-05","3.71855749108e-05","3.33643220074e-05","1.23005820569e-05","8.91352442522e-07","7.50954825435e-07","4.88147463784e-07","6.66531150273e-07"
2012,1,1,5.92801,"2.88814763764e-20","1.85107946891e-05","3.29596659867e-05","1.69027607626e-05","1.66038375937e-06","1.06625697854e-11","2.38765396343e-10","2.92799899881e-08","3.0504611459e-07"
2012,1,1,6.37051,"1.59878823069e-06","1.50199257405e-05","2.21230693569e-05","3.60174249181e-06",0,0,"8.05001754145e-09","2.28617622611e-07","9.98738187263e-07"
2012,1,1,6.81301,"2.40065514845e-06","1.09092743514e-05","1.14848244266e-05","2.53633686498e-07","3.32166633238e-22","3.43513987152e-22","6.48125535463e-08","8.11847485238e-07","2.12980808101e-06"
2012,1,1,7.25551,"2.81506254396e-06","7.2670541158e-06","4.73913041787e-06","9.04025105809e-22","1.83877055804e-08","1.90158591096e-08","1.72970118228e-07","1.15544730761e-06","1.85267583674e-06"
2012,1,1,7.69801,"2.87045600089e-06","4.15283057009e-06","1.33668595481e-06","5.00440009432e-08","4.20948182978e-08","1.03403277052e-08","1.87334933344e-07","1.11331405606e-06","1.28591580051e-06"
2012,1,1,8.14052,"2.78271818388e-06","4.64317872684e-06","1.58222474056e-06","1.94124922359e-07","5.24584571338e-08","6.768840561e-22","6.94707722459e-08","8.02703539193e-07","6.58406634102e-07"
2012,1,1,8.58302,"4.32681827078e-06","7.83643645264e-06","2.0069862785e-06","2.38943414388e-07","2.27973046663e-07","3.37231647052e-08","4.84057073684e-23","4.69732128749e-07","2.1349173096e-07"
2012,1,1,9.02552,"5.98081896896e-06","1.26014710986e-05","3.17234798786e-06","7.02939985331e-07","3.31047203872e-07","8.49253396495e-08","2.41162956272e-09","3.51173184754e-07","1.47112126925e-08"
2012,1,1,9.46802,"8.78058381204e-06","1.6003530618e-05","5.31619843969e-06","2.17887577492e-06","1.00877048226e-06","1.00608424702e-07","4.47993954822e-07","2.66233712409e-07","3.10273168269e-10"
2012,1,1,9.91052,"1.36493436003e-05","2.02815190278e-05","8.12710550235e-06","5.70133761357e-06","1.73237708623e-06","8.02977524472e-07","7.90469528056e-07","1.28527176457e-07","1.77516543687e-08"
2012,1,1,10.353,"2.18998702621e-05","2.60021570284e-05","1.61908483278e-05","8.60451382323e-06","3.17605690725e-06","1.53585745011e-06","5.24609447439e-07","1.04573508963e-07","1.0162150943e-07"
2012,1,1,10.7955,"3.59509176633e-05","3.29785980284e-05","1.9123805032e-05","9.05560955289e-06","3.58435977432e-06","1.24272389712e-06","2.71502699434e-07","1.86838221339e-07","2.20625651082e-07"

2012,1,2,1.503,0,0,"6.46396001684e-05",0.0001784359,0.0002195624,0.0002470461,0.0002537273,0.0002191394,0.0001730677
2012,1,2,1.9455,0,0,"7.08044244675e-05",0.0001767037,0.0001965595,0.0002136745,0.0002199026,0.0001707271,0.000132235
2012,1,2,2.388,0,"5.24452703198e-21","7.11607717676e-05",0.0001703686,0.0001801659,0.0002092716,0.0002163405,0.0001809903,0.0001481394
2012,1,2,2.8305,0,"3.07398295263e-07","6.60831428831e-05",0.0001367931,0.0001585529,0.0002029298,0.0002316431,0.0002161015,0.0001835532
2012,1,2,3.273,0,"6.97134873917e-06","5.72433309571e-05",0.0001023189,0.0001319458,0.0002001165,0.0002644883,0.0002767918,0.000268453
2012,1,2,3.7155,0,"9.64985702012e-06","4.98785702803e-05","8.90878436621e-05",0.0001127552,0.0001723848,0.0002473323,0.000276621,0.0002487758
2012,1,2,4.15801,0,"1.15345328595e-05","4.13686248066e-05","7.33673441573e-05","9.77146191872e-05",0.0001221441,0.0001439238,0.000147583,"9.31645481614e-05"
2012,1,2,4.60051,0,"1.55317102326e-05","3.77895994461e-05","6.07323745498e-05","8.57366176206e-05","7.5348878454e-05","4.56568814116e-05","2.10804482776e-05","4.70632767247e-05"
2012,1,2,5.04301,0,"2.08777437365e-05","4.06684775953e-05","6.18724734522e-05","7.46955483919e-05","3.69425179088e-05","1.96446908376e-05","1.91033905139e-05","1.14948306873e-05"
2012,1,2,5.48551,0,"2.56461262325e-05","4.31634034612e-05","6.4508021751e-05","4.65776865894e-05","1.45724261529e-05","9.33379214985e-06","4.10462507716e-06","2.66904385171e-06"
2012,1,2,5.92801,"5.94172558167e-20","2.9240427466e-05","4.68888429168e-05","5.82190987188e-05","1.67611215147e-05","3.99575765186e-06","1.10582084289e-06","1.25614258195e-06","1.46109653087e-06"
2012,1,2,6.37051,"3.28915348291e-06","2.96050748148e-05","4.3782110879e-05","2.97631031572e-05","4.68614143756e-06","4.99007102306e-09","1.01973768096e-07","8.76745048117e-07","2.79222990685e-06"
2012,1,2,6.81301,"6.10827828496e-06","2.77531853499e-05","3.25973051076e-05","1.1958102732e-05","2.62327557721e-06","7.55521512019e-08","6.87316230596e-07","2.42849750975e-06","3.13308623845e-06"
2012,1,2,7.25551,"7.84184612712e-06","2.19318717427e-05","1.83064148587e-05","5.82071561439e-06","1.78564880571e-06","1.18676247496e-07","1.54919564466e-06","3.02487546833e-06","1.91964340956e-06"
2012,1,2,7.69801,"8.42480494612e-06","1.69446939253e-05","1.02559761217e-05","2.64573827735e-06","5.82897939694e-07","7.84751179594e-08","1.31966078243e-06","2.03722925107e-06","1.07303162622e-06"
2012,1,2,8.14052,"6.77485604683e-06","1.42010985655e-05","6.99233305568e-06","9.98984091893e-07","6.80809222331e-08","2.36064856551e-08","5.55478038677e-07","8.45957742968e-07","3.602696097e-07"
2012,1,2,8.58302,"8.65877154865e-06","1.41270156746e-05","3.90052082366e-06","3.00818157939e-07","9.6720134124e-09","3.23179776274e-08","1.31436578954e-07","2.32175750625e-07","5.98806551011e-08"
2012,1,2,9.02552,"1.03431166281e-05","1.46699321704e-05","8.84286976088e-07","1.96760794324e-08","1.19167014034e-08","3.34849694639e-08","3.06422833773e-08","4.69911327627e-08","2.18491935655e-09"
2012,1,2,9.46802,"1.08579770313e-05","1.33045132316e-05","3.66773633687e-08","9.74995084668e-10","1.18673311178e-08","2.30062546791e-08","9.83520109799e-09","3.52474449627e-09",0
2012,1,2,9.91052,"1.13965315904e-05","1.15257471407e-05","2.32784866938e-08","1.49526990789e-09","7.0837704591e-09","6.87682799594e-09",0,0,0
2012,1,2,10.353,"1.31490569402e-05","9.14055090107e-06","2.04624956979e-08","6.30231977716e-10","1.72270542276e-09","3.89688586955e-10",0,"9.4721211017e-23","7.79036999487e-23"
2012,1,2,10.7955,"1.90745467989e-05","9.1551364676e-06","8.51104908772e-10","7.6850588393e-11","5.72866980519e-08","5.29657597781e-08","2.72036055312e-21","4.71912287026e-09","3.88125442896e-09"
,,,,,,,,,,,,
"...",,,,,,,,,,,,
"...",,,,,,,,,,,,
"....",,,,,,,,,,,,
,,,,,,,,,,,,
2012,12,30,1.503,0.0003602765,0.0002962155,0.0001992935,0.0001486798,0.0001240488,"9.92991335806e-05","9.80544937192e-05",0.0001029222,0.0001063376
2012,12,30,1.9455,0.0003532586,0.0002715104,0.000149078,0.0001208936,"9.95308873826e-05","9.33303526836e-05","9.95178997982e-05",0.000102263,0.0001086959
2012,12,30,2.388,0.0003212346,0.000231689,0.0001163337,0.00010871,"9.81909834081e-05","9.94440415525e-05",0.0001041788,0.0001108604,0.0001137781
2012,12,30,2.8305,0.0002129701,0.0001221053,"6.66272535454e-05",0.0001222799,0.0001051206,0.0001157558,0.0001164896,0.000118972,0.00012165
2012,12,30,3.273,"7.89584664744e-05","8.53159963299e-06","7.21060059732e-05",0.0001423728,0.0001198981,0.0001174607,0.0001214715,0.0001151148,0.0001099181
2012,12,30,3.7155,0,"5.7057873164e-06","7.07210056134e-05",0.0001554566,0.000117132,0.0001088142,0.0001116619,0.0001076938,0.0001058616
2012,12,30,4.15801,0,"3.17322019328e-06","8.00107372925e-05",0.0001469627,0.0001126599,0.0001047932,0.0001088661,0.0001178244,0.0001265022
2012,12,30,4.60051,0,0,"6.36039039819e-05",0.0001013715,"9.01096791495e-05","9.11487077246e-05","9.74365684669e-05",0.0001019099,0.0001088956
2012,12,30,5.04301,0,0,"4.84345800942e-05","7.26396829123e-05","6.93618567311e-05","6.76263443893e-05","7.4181756645e-05","7.76520537329e-05","8.56284605106e-05"
2012,12,30,5.48551,0,0,"4.1512586904e-05","6.33183517493e-05","6.13236334175e-05","5.9809673985e-05","6.09342059761e-05","6.79985823808e-05","8.15138555481e-05"
2012,12,30,5.92801,0,"3.83701653494e-20","3.28371388605e-05","5.87184513279e-05","5.97436883254e-05","6.11704090261e-05","6.40220314381e-05","7.03117621015e-05","7.52931300667e-05"
2012,12,30,6.37051,0,"2.12405234379e-06","2.28570279432e-05","5.36789157195e-05","5.43699134141e-05","5.94859484409e-05","6.06990870438e-05","6.56923075439e-05","6.48456261843e-05"
2012,12,30,6.81301,0,"8.52881385072e-07","1.3953321286e-05","4.2281106289e-05","4.61795934825e-05","4.99560555909e-05","5.21775436937e-05","5.32646045031e-05","5.17635562574e-05"
2012,12,30,7.25551,0,"2.08419265846e-07","1.26887971419e-05","3.1365412724e-05","3.38661811838e-05","3.57338503818e-05","3.81120516977e-05","3.93758782593e-05","3.79441407858e-05"
2012,12,30,7.69801,0,0,"1.13569867608e-05","2.20889724005e-05","2.34617546084e-05","2.3844801035e-05","2.44752336584e-05","2.59890421148e-05","2.76500140899e-05"
2012,12,30,8.14052,"3.61684546134e-22",0,"7.83705218055e-06","1.57859522005e-05","1.63238455571e-05","1.67900670931e-05","1.81947070814e-05","1.72150284925e-05","1.63651166076e-05"
2012,12,30,8.58302,"1.80195520727e-08",0,"4.17251385443e-06","1.12315337901e-05","1.13018631964e-05","1.31199012685e-05","1.5158113456e-05","1.49993529703e-05","1.34641986733e-05"
2012,12,30,9.02552,"5.95815663473e-08",0,"8.75323905802e-07","6.38856317892e-06","9.30310943659e-06","1.14757876872e-05","1.33521480166e-05","1.37807683132e-05","1.36192975333e-05"
2012,12,30,9.46802,0,0,"3.25750306729e-07","3.95958522859e-06","9.36366541282e-06","1.05224844447e-05","1.31355445774e-05","1.37380138767e-05","1.35297768793e-05"
2012,12,30,9.91052,0,0,"3.41927233194e-07","3.21006041304e-06","8.8350070655e-06","1.01866453406e-05","1.30007456391e-05","1.45524636537e-05","1.30097450892e-05"
